TOWN,TYPE,2018,2017,2016,2015,2014,2013,2012
Naugatuck ,LF,"17,447","17,327","17,302","17,375","17,461","17,283","17,761"
Naugatuck ,EMP,"16,632","16,385","16,282","16,197","16,107","15,713","15,987"
Naugatuck ,UN,815,942,"1,020","1,178","1,354","1,570","1,774"
Naugatuck ,RT,4.7,5.4,5.9,6.8,7.8,9.1,10.0
,,,,,,,,
New Britain ,LF,"36,815","36,684","36,530","36,699","36,703","36,387","37,600"
New Britain ,EMP,"34,756","34,336","33,992","33,815","33,418","32,544","33,014"
New Britain ,UN,"2,059","2,348","2,538","2,884","3,285","3,843","4,586"
New Britain ,RT,5.6,6.4,6.9,7.9,9.0,10.6,12.2
,,,,,,,,
New Canaan ,LF,"8,396","8,376","8,391","8,352","8,287","8,142","8,435"
New Canaan ,EMP,"8,131","8,050","8,060","7,997","7,875","7,656","7,873"
New Canaan ,UN,265,326,331,355,412,486,562
New Canaan ,RT,3.2,3.9,3.9,4.3,5.0,6.0,6.7
,,,,,,,,
New Fairfield,LF,"7,131","7,138","7,168","7,202","7,177","7,063","7,380"
New Fairfield,EMP,"6,891","6,851","6,859","6,862","6,802","6,608","6,771"
New Fairfield,UN,240,287,309,340,375,455,609
New Fairfield,RT,3.4,4.0,4.3,4.7,5.2,6.4,8.3
,,,,,,,,
New Hartford,LF,"4,010","3,975","3,983","3,977","3,988","3,964","4,045"
New Hartford,EMP,"3,875","3,823","3,812","3,788","3,763","3,697","3,764"
New Hartford,UN,135,152,171,189,225,267,281
New Hartford,RT,3.4,3.8,4.3,4.8,5.6,6.7,6.9
,,,,,,,,
New Haven,LF,"64,773","64,763","64,069","64,008","64,125","63,868","65,711"
New Haven,EMP,"61,492","60,877","59,895","59,317","58,652","57,239","57,798"
New Haven,UN,"3,281","3,886","4,174","4,691","5,473","6,629","7,913"
New Haven,RT,5.1,6.0,6.5,7.3,8.5,10.4,12.0
,,,,,,,,
New London ,LF,"12,101","12,142","11,957","11,992","12,081","12,291","12,991"
